Term,Document,Frequency
khác,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
khác,Hieu_ro_hon_ve_Cpp.txt,1
nhau,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
nhau,Hieu_ro_hon_ve_Cpp.txt,1
nhằm,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
đáp,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
ứng,Gioi_thieu_ngon_ngu_lap_trinh.txt,3
ứng,Hieu_ro_hon_ve_Cpp.txt,1
ứng,Lap_trinh_ham_hoc_voi_Haskell.txt,1
ứng,Loi_ich_cua_JavaScript.txt,3
ứng,Ngon_ngu_Go.txt,1
ứng,Su_phat_trien_cua_Java.txt,5
nhu,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
cầu,Gioi_thieu_ngon_ngu_lap_trinh.txt,2
cầu,Hieu_ro_hon_ve_Cpp.txt,1
cầu,Ngon_ngu_kieu_tinh_va_dong.txt,1
đa,Gioi_thieu_ngon_ngu_lap_trinh.txt,2
đa,Loi_ich_cua_JavaScript.txt,1
đa,Su_phat_trien_cua_Java.txt,3
dạng,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
lĩnh,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
lĩnh,Python_trong_khoa_hoc_du_lieu.txt,2
vực,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
vực,Python_trong_khoa_hoc_du_lieu.txt,2
phần,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
phần,Lap_trinh_ham_hoc_voi_Haskell.txt,2
phần,Ngon_ngu_Go.txt,1
mềm,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
mềm,Lap_trinh_ham_hoc_voi_Haskell.txt,1
mềm,Ngon_ngu_Go.txt,1
đóng,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
vai,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
trò,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
quan,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
trọng,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
sự,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
sự,Ngon_ngu_Go.txt,1
sự,Ngon_ngu_kieu_tinh_va_dong.txt,1
nghệ,Gioi_thieu_ngon_ngu_lap_trinh.txt,2
thông,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
thông,Ngon_ngu_Go.txt,1
tin,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
chúng,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
truyền,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
đạt,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
ý,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
tưởng,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
thành,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
thành,Lap_trinh_ham_hoc_voi_Haskell.txt,1
thành,Loi_ich_cua_JavaScript.txt,3
thành,Python_trong_khoa_hoc_du_lieu.txt,1
thành,Su_phat_trien_cua_Java.txt,1
câu,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
lệnh,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
thể,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
thể,Lap_trinh_ham_hoc_voi_Haskell.txt,1
thể,Ngon_ngu_kieu_tinh_va_dong.txt,2
hiểu,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
hiểu,Hieu_ro_hon_ve_Cpp.txt,1
qua,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
qua,Ngon_ngu_Go.txt,1
thời,Gioi_thieu_ngon_ngu_lap_trinh.txt,2
thời,Lap_trinh_ham_hoc_voi_Haskell.txt,1
thời,Ngon_ngu_Go.txt,3
thời,Ngon_ngu_kieu_tinh_va_dong.txt,1
gian,Gioi_thieu_ngon_ngu_lap_trinh.txt,2
gian,Ngon_ngu_Go.txt,1
hỗ,Gioi_thieu_ngon_ngu_lap_trinh.txt,3
hỗ,Hieu_ro_hon_ve_Cpp.txt,2
hỗ,Lap_trinh_ham_hoc_voi_Haskell.txt,1
hỗ,Loi_ich_cua_JavaScript.txt,1
hỗ,Ngon_ngu_Go.txt,2
hỗ,Ngon_ngu_kieu_tinh_va_dong.txt,1
hỗ,Python_trong_khoa_hoc_du_lieu.txt,1
hỗ,Su_phat_trien_cua_Java.txt,1
trợ,Gioi_thieu_ngon_ngu_lap_trinh.txt,3
trợ,Hieu_ro_hon_ve_Cpp.txt,2
trợ,Lap_trinh_ham_hoc_voi_Haskell.txt,1
trợ,Loi_ich_cua_JavaScript.txt,1
trợ,Ngon_ngu_Go.txt,2
trợ,Ngon_ngu_kieu_tinh_va_dong.txt,1
trợ,Python_trong_khoa_hoc_du_lieu.txt,1
trợ,Su_phat_trien_cua_Java.txt,1
hiệu,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
hiệu,Hieu_ro_hon_ve_Cpp.txt,3
hiệu,Loi_ich_cua_JavaScript.txt,2
hiệu,Ngon_ngu_Go.txt,2
hiệu,Ngon_ngu_kieu_tinh_va_dong.txt,2
hiệu,Su_phat_trien_cua_Java.txt,1
quả,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
quả,Hieu_ro_hon_ve_Cpp.txt,1
quả,Loi_ich_cua_JavaScript.txt,2
quả,Ngon_ngu_Go.txt,1
quả,Ngon_ngu_kieu_tinh_va_dong.txt,1
hơn,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
hơn,Ngon_ngu_kieu_tinh_va_dong.txt,1
nhiệm,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
phức,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
phức,Hieu_ro_hon_ve_Cpp.txt,2
phức,Lap_trinh_ham_hoc_voi_Haskell.txt,1
phức,Loi_ich_cua_JavaScript.txt,1
phức,Python_trong_khoa_hoc_du_lieu.txt,1
tạp,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
tạp,Hieu_ro_hon_ve_Cpp.txt,2
tạp,Lap_trinh_ham_hoc_voi_Haskell.txt,1
tạp,Loi_ich_cua_JavaScript.txt,1
tạp,Python_trong_khoa_hoc_du_lieu.txt,1
ngày,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
ngày,Ngon_ngu_Go.txt,1
nay,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
nay,Loi_ich_cua_JavaScript.txt,1
việc,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
việc,Hieu_ro_hon_ve_Cpp.txt,1
việc,Ngon_ngu_Go.txt,1
việc,Ngon_ngu_kieu_tinh_va_dong.txt,1
việc,Python_trong_khoa_hoc_du_lieu.txt,1
lựa,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
lựa,Lap_trinh_ham_hoc_voi_Haskell.txt,1
lựa,Ngon_ngu_kieu_tinh_va_dong.txt,1
chọn,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
chọn,Lap_trinh_ham_hoc_voi_Haskell.txt,1
chọn,Ngon_ngu_kieu_tinh_va_dong.txt,1
phù,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
phù,Hieu_ro_hon_ve_Cpp.txt,2
phù,Ngon_ngu_Go.txt,2
phù,Su_phat_trien_cua_Java.txt,1
hợp,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
hợp,Hieu_ro_hon_ve_Cpp.txt,2
hợp,Ngon_ngu_Go.txt,4
hợp,Su_phat_trien_cua_Java.txt,1
phụ,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
phụ,Ngon_ngu_kieu_tinh_va_dong.txt,1
thuộc,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
thuộc,Ngon_ngu_kieu_tinh_va_dong.txt,1
vào,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
vào,Ngon_ngu_kieu_tinh_va_dong.txt,1
mục,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
tiêu,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
dự,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
dự,Lap_trinh_ham_hoc_voi_Haskell.txt,1
dự,Ngon_ngu_Go.txt,1
dự,Ngon_ngu_kieu_tinh_va_dong.txt,1
án,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
án,Ngon_ngu_Go.txt,1
án,Ngon_ngu_kieu_tinh_va_dong.txt,1
nền,Gioi_thieu_ngon_ngu_lap_trinh.txt,2
nền,Python_trong_khoa_hoc_du_lieu.txt,1
nền,Su_phat_trien_cua_Java.txt,2
tảng,Gioi_thieu_ngon_ngu_lap_trinh.txt,2
tảng,Su_phat_trien_cua_Java.txt,2
yêu,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
yêu,Hieu_ro_hon_ve_Cpp.txt,1
yêu,Ngon_ngu_kieu_tinh_va_dong.txt,1
kỹ,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
thuật,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
số,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
phổ,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
phổ,Python_trong_khoa_hoc_du_lieu.txt,1
phổ,Su_phat_trien_cua_Java.txt,1
biến,Gioi_thieu_ngon_ngu_lap_trinh.txt,2
biến,Lap_trinh_ham_hoc_voi_Haskell.txt,2
biến,Python_trong_khoa_hoc_du_lieu.txt,1
biến,Su_phat_trien_cua_Java.txt,1
cộng,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
cộng,Lap_trinh_ham_hoc_voi_Haskell.txt,1
cộng,Ngon_ngu_Go.txt,1
cộng,Python_trong_khoa_hoc_du_lieu.txt,1
đồng,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
đồng,Lap_trinh_ham_hoc_voi_Haskell.txt,1
đồng,Loi_ich_cua_JavaScript.txt,1
đồng,Ngon_ngu_Go.txt,3
đồng,Python_trong_khoa_hoc_du_lieu.txt,1
lớn,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
lớn,Loi_ich_cua_JavaScript.txt,1
lớn,Ngon_ngu_Go.txt,1
lớn,Python_trong_khoa_hoc_du_lieu.txt,1
lớn,Su_phat_trien_cua_Java.txt,2
thư,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
thư,Hieu_ro_hon_ve_Cpp.txt,1
thư,Lap_trinh_ham_hoc_voi_Haskell.txt,1
thư,Loi_ich_cua_JavaScript.txt,1
thư,Ngon_ngu_Go.txt,1
thư,Python_trong_khoa_hoc_du_lieu.txt,3
thư,Su_phat_trien_cua_Java.txt,1
viện,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
viện,Hieu_ro_hon_ve_Cpp.txt,1
viện,Lap_trinh_ham_hoc_voi_Haskell.txt,1
viện,Loi_ich_cua_JavaScript.txt,1
viện,Ngon_ngu_Go.txt,1
viện,Python_trong_khoa_hoc_du_lieu.txt,3
viện,Su_phat_trien_cua_Java.txt,1
phong,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
phong,Loi_ich_cua_JavaScript.txt,2
phong,Python_trong_khoa_hoc_du_lieu.txt,2
phú,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
phú,Loi_ich_cua_JavaScript.txt,2
phú,Python_trong_khoa_hoc_du_lieu.txt,2
rút,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
ngắn,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
ngắn,Lap_trinh_ham_hoc_voi_Haskell.txt,2
ngoài,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
ngoài,Lap_trinh_ham_hoc_voi_Haskell.txt,1
ngoài,Python_trong_khoa_hoc_du_lieu.txt,1
ngoài,Su_phat_trien_cua_Java.txt,1
xu,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
hướng,Gioi_thieu_ngon_ngu_lap_trinh.txt,2
hướng,Hieu_ro_hon_ve_Cpp.txt,2
hiện,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
hiện,Lap_trinh_ham_hoc_voi_Haskell.txt,2
hiện,Loi_ich_cua_JavaScript.txt,2
hiện,Ngon_ngu_kieu_tinh_va_dong.txt,5
hiện,Su_phat_trien_cua_Java.txt,1
đại,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
đại,Loi_ich_cua_JavaScript.txt,2
đại,Ngon_ngu_kieu_tinh_va_dong.txt,1
đại,Su_phat_trien_cua_Java.txt,1
tới,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
khả,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
khả,Hieu_ro_hon_ve_Cpp.txt,1
khả,Loi_ich_cua_JavaScript.txt,1
khả,Ngon_ngu_Go.txt,1
khả,Su_phat_trien_cua_Java.txt,1
tương,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
tương,Loi_ich_cua_JavaScript.txt,3
hàm,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
hàm,Lap_trinh_ham_hoc_voi_Haskell.txt,3
phản,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
phản,Su_phat_trien_cua_Java.txt,1
thích,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
môi,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
trường,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
đổi,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
đổi,Python_trong_khoa_hoc_du_lieu.txt,1
nhanh,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
nhanh,Ngon_ngu_Go.txt,2
nhanh,Ngon_ngu_kieu_tinh_va_dong.txt,1
nhanh,Su_phat_trien_cua_Java.txt,1
chóng,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
c,Hieu_ro_hon_ve_Cpp.txt,6
cung,Hieu_ro_hon_ve_Cpp.txt,1
cung,Python_trong_khoa_hoc_du_lieu.txt,1
kiểm,Hieu_ro_hon_ve_Cpp.txt,2
kiểm,Ngon_ngu_Go.txt,1
kiểm,Ngon_ngu_kieu_tinh_va_dong.txt,3
soát,Hieu_ro_hon_ve_Cpp.txt,2
tài,Hieu_ro_hon_ve_Cpp.txt,2
nguyên,Hieu_ro_hon_ve_Cpp.txt,2
suất,Hieu_ro_hon_ve_Cpp.txt,2
suất,Ngon_ngu_Go.txt,1
suất,Ngon_ngu_kieu_tinh_va_dong.txt,1
cách,Hieu_ro_hon_ve_Cpp.txt,2
cách,Lap_trinh_ham_hoc_voi_Haskell.txt,1
cách,Loi_ich_cua_JavaScript.txt,1
chi,Hieu_ro_hon_ve_Cpp.txt,1
tiết,Hieu_ro_hon_ve_Cpp.txt,1
hệ,Hieu_ro_hon_ve_Cpp.txt,3
hệ,Lap_trinh_ham_hoc_voi_Haskell.txt,3
hệ,Loi_ich_cua_JavaScript.txt,1
hệ,Ngon_ngu_Go.txt,2
hệ,Python_trong_khoa_hoc_du_lieu.txt,1
hệ,Su_phat_trien_cua_Java.txt,1
thống,Hieu_ro_hon_ve_Cpp.txt,3
thống,Lap_trinh_ham_hoc_voi_Haskell.txt,3
thống,Ngon_ngu_Go.txt,2
thống,Python_trong_khoa_hoc_du_lieu.txt,1
game,Hieu_ro_hon_ve_Cpp.txt,2
tuy,Hieu_ro_hon_ve_Cpp.txt,1
nhiên,Hieu_ro_hon_ve_Cpp.txt,1
làm,Hieu_ro_hon_ve_Cpp.txt,2
chủ,Hieu_ro_hon_ve_Cpp.txt,1
đòi,Hieu_ro_hon_ve_Cpp.txt,1
đòi,Lap_trinh_ham_hoc_voi_Haskell.txt,1
hỏi,Hieu_ro_hon_ve_Cpp.txt,1
hỏi,Lap_trinh_ham_hoc_voi_Haskell.txt,1
kiến,Hieu_ro_hon_ve_Cpp.txt,1
kiến,Ngon_ngu_Go.txt,1
thức,Hieu_ro_hon_ve_Cpp.txt,1
sâu,Hieu_ro_hon_ve_Cpp.txt,1
quản,Hieu_ro_hon_ve_Cpp.txt,2
quản,Loi_ich_cua_JavaScript.txt,1
quản,Ngon_ngu_Go.txt,1
lý,Hieu_ro_hon_ve_Cpp.txt,3
lý,Lap_trinh_ham_hoc_voi_Haskell.txt,1
lý,Loi_ich_cua_JavaScript.txt,1
lý,Ngon_ngu_Go.txt,2
lý,Ngon_ngu_kieu_tinh_va_dong.txt,1
lý,Python_trong_khoa_hoc_du_lieu.txt,2
bộ,Hieu_ro_hon_ve_Cpp.txt,3
bộ,Loi_ich_cua_JavaScript.txt,1
bộ,Ngon_ngu_Go.txt,2
nhớ,Hieu_ro_hon_ve_Cpp.txt,3
nhớ,Ngon_ngu_Go.txt,1
thủ,Hieu_ro_hon_ve_Cpp.txt,2
khái,Hieu_ro_hon_ve_Cpp.txt,1
niệm,Hieu_ro_hon_ve_Cpp.txt,1
con,Hieu_ro_hon_ve_Cpp.txt,1
trỏ,Hieu_ro_hon_ve_Cpp.txt,1
đối,Hieu_ro_hon_ve_Cpp.txt,2
tượng,Hieu_ro_hon_ve_Cpp.txt,3
mạnh,Hieu_ro_hon_ve_Cpp.txt,2
mạnh,Lap_trinh_ham_hoc_voi_Haskell.txt,4
mạnh,Ngon_ngu_Go.txt,1
mạnh,Python_trong_khoa_hoc_du_lieu.txt,2
mẽ,Hieu_ro_hon_ve_Cpp.txt,2
mẽ,Lap_trinh_ham_hoc_voi_Haskell.txt,2
mẽ,Ngon_ngu_Go.txt,1
mẽ,Python_trong_khoa_hoc_du_lieu.txt,2
phép,Hieu_ro_hon_ve_Cpp.txt,1
phép,Lap_trinh_ham_hoc_voi_Haskell.txt,2
phép,Ngon_ngu_kieu_tinh_va_dong.txt,2
phép,Su_phat_trien_cua_Java.txt,1
mức,Hieu_ro_hon_ve_Cpp.txt,1
vẫn,Hieu_ro_hon_ve_Cpp.txt,1
trừu,Hieu_ro_hon_ve_Cpp.txt,1
nhúng,Hieu_ro_hon_ve_Cpp.txt,1
dụng,Hieu_ro_hon_ve_Cpp.txt,1
dụng,Lap_trinh_ham_hoc_voi_Haskell.txt,1
dụng,Loi_ich_cua_JavaScript.txt,4
dụng,Ngon_ngu_Go.txt,1
dụng,Su_phat_trien_cua_Java.txt,4
nhiều,Hieu_ro_hon_ve_Cpp.txt,1
nhiều,Lap_trinh_ham_hoc_voi_Haskell.txt,2
nhiều,Ngon_ngu_Go.txt,1
nhiều,Ngon_ngu_kieu_tinh_va_dong.txt,1
kiểu,Hieu_ro_hon_ve_Cpp.txt,1
kiểu,Lap_trinh_ham_hoc_voi_Haskell.txt,2
kiểu,Ngon_ngu_kieu_tinh_va_dong.txt,9
tục,Hieu_ro_hon_ve_Cpp.txt,1
mẫu,Hieu_ro_hon_ve_Cpp.txt,1
template,Hieu_ro_hon_ve_Cpp.txt,1
stl,Hieu_ro_hon_ve_Cpp.txt,1
xử,Hieu_ro_hon_ve_Cpp.txt,1
xử,Lap_trinh_ham_hoc_voi_Haskell.txt,1
xử,Ngon_ngu_Go.txt,1
xử,Ngon_ngu_kieu_tinh_va_dong.txt,1
xử,Python_trong_khoa_hoc_du_lieu.txt,2
dữ,Hieu_ro_hon_ve_Cpp.txt,1
dữ,Lap_trinh_ham_hoc_voi_Haskell.txt,2
dữ,Ngon_ngu_kieu_tinh_va_dong.txt,3
dữ,Python_trong_khoa_hoc_du_lieu.txt,5
liệu,Hieu_ro_hon_ve_Cpp.txt,1
liệu,Lap_trinh_ham_hoc_voi_Haskell.txt,2
liệu,Ngon_ngu_kieu_tinh_va_dong.txt,3
liệu,Python_trong_khoa_hoc_du_lieu.txt,5
mặc,Hieu_ro_hon_ve_Cpp.txt,1
dù,Hieu_ro_hon_ve_Cpp.txt,1
độ,Hieu_ro_hon_ve_Cpp.txt,1
độ,Lap_trinh_ham_hoc_voi_Haskell.txt,2
độ,Loi_ich_cua_JavaScript.txt,1
người,Hieu_ro_hon_ve_Cpp.txt,1
người,Loi_ich_cua_JavaScript.txt,1
rõ,Hieu_ro_hon_ve_Cpp.txt,1
tránh,Hieu_ro_hon_ve_Cpp.txt,1
lỗi,Hieu_ro_hon_ve_Cpp.txt,2
lỗi,Lap_trinh_ham_hoc_voi_Haskell.txt,1
lỗi,Ngon_ngu_Go.txt,1
lỗi,Ngon_ngu_kieu_tinh_va_dong.txt,4
rò,Hieu_ro_hon_ve_Cpp.txt,1
rỉ,Hieu_ro_hon_ve_Cpp.txt,1
hoặc,Hieu_ro_hon_ve_Cpp.txt,1
hoặc,Ngon_ngu_kieu_tinh_va_dong.txt,1
truy,Hieu_ro_hon_ve_Cpp.txt,1
cập,Hieu_ro_hon_ve_Cpp.txt,1
haskell,Lap_trinh_ham_hoc_voi_Haskell.txt,5
giới,Lap_trinh_ham_hoc_voi_Haskell.txt,1
thiệu,Lap_trinh_ham_hoc_voi_Haskell.txt,1
mô,Lap_trinh_ham_hoc_voi_Haskell.txt,1
mô,Loi_ich_cua_JavaScript.txt,1
mô,Ngon_ngu_Go.txt,1
mô,Ngon_ngu_kieu_tinh_va_dong.txt,1
mô,Python_trong_khoa_hoc_du_lieu.txt,2
mô,Su_phat_trien_cua_Java.txt,1
hình,Lap_trinh_ham_hoc_voi_Haskell.txt,1
hình,Loi_ich_cua_JavaScript.txt,1
hình,Python_trong_khoa_hoc_du_lieu.txt,2
thuần,Lap_trinh_ham_hoc_voi_Haskell.txt,2
túy,Lap_trinh_ham_hoc_voi_Haskell.txt,2
nhấn,Lap_trinh_ham_hoc_voi_Haskell.txt,1
